Country,1917,1918,1919,1920
Indonesia,30.4,14.2,30.4,30.5
Iran,26.7,22.1,26.7,26.8
Iraq,31.8,26.3,31.8,31.8
Ireland,55.4,49.8,55.9,56.2
Israel,32.0,26.5,32.0,32.0
Italy,37.7,25.6,42.1,45.5
Jamaica,31.9,26.6,36.9,35.7
Japan,41.5,32.8,42.0,42.2
Jordan,32.0,26.6,32.0,32.0
Kazakhstan,28.4,18.3,23.8,19.3
Kenya,26.9,6.35,27.0,27.0
Kiribati,25.8,25.8,25.8,25.8
Kuwait,26.6,22.0,26.6,26.6
Kyrgyz Republic,25.6,15.7,21.1,16.6
Lao,30.4,19.5,30.4,30.3
Latvia,39.5,35.5,40.1,47.8
Lebanon,30.1,24.9,30.1,30.1
Lesotho,34.9,13.5,35.0,35.1
Liberia,33.9,13.1,34.0,34.1
Libya,35.6,27.3,35.7,35.8
Lithuania,39.0,34.5,39.0,43.0
Luxembourg,48.3,42.5,44.9,54.9
Madagascar,32.4,13.5,32.5,32.5
Malawi,31.3,12.1,31.3,31.3
Malaysia,30.6,19.6,30.6,30.6
Maldives,31.5,10.2,31.4,31.4
Mali,29.2,11.3,29.3,29.4
Malta,49.9,47.0,50.8,51.3
Mauritania,33.5,12.9,33.5,33.6
Mauritius,30.3,29.1,11.8,30.7
Mexico,30.6,18.3,31.5,31.9
"Micronesia, Fed. Sts.",26.4,8.56,26.4,26.4
Moldova,32.7,30.8,32.7,32.7
Mongolia,31.3,20.0,31.2,31.2
Montenegro,35.9,19.7,35.9,35.9
Morocco,33.8,25.9,33.8,33.8
Mozambique,33.2,12.8,33.3,33.3
Myanmar,29.3,17.2,29.3,29.2
Namibia,34.1,13.2,34.2,34.2
Nepal,35.4,22.7,35.5,35.5
Netherlands,55.7,47.6,55.0,57.9
New Zealand,55.0,47.0,55.9,56.3
Nicaragua,25.9,22.9,25.5,25.3
Niger,33.5,13.0,33.6,33.7
Nigeria,35.7,16.9,35.9,36.0
North Korea,28.6,18.1,29.3,29.8
North Macedonia,36.7,20.2,36.8,36.8
Norway,57.7,50.2,56.7,58.8
Oman,32.0,26.5,32.0,32.0
Pakistan,25.2,8.42,25.9,26.2
Palestine,33.8,28.1,33.9,33.9
Panama,34.1,30.2,34.6,34.8
Papua New Guinea,33.6,33.6,33.7,33.7
Paraguay,36.5,32.3,36.5,36.5
Peru,34.0,30.0,33.9,33.9
Philippines,31.6,26.2,31.6,31.6
Poland,45.6,38.7,46.2,46.5
Portugal,35.6,20.4,35.6,35.6
Qatar,29.9,24.8,29.9,29.9
Romania,35.8,26.5,35.8,35.8
Russia,29.0,23.0,25.0,20.5
Rwanda,24.6,12.6,32.6,32.7
Samoa,28.0,1.1,28.1,28.2
Sao Tome and Principe,31.7,12.3,31.7,31.7
Saudi Arabia,35.4,29.4,35.5,35.6
Senegal,27.9,13.2,28.1,28.1
Serbia,20.1,9.94,35.7,35.7
Seychelles,49.6,49.9,50.2,50.5
Sierra Leone,28.7,13.6,28.8,28.9
Singapore,34.3,22.0,34.3,34.3
Slovak Republic,43.0,31.9,43.6,43.9
Slovenia,36.3,19.9,36.3,36.3
Solomon Islands,25.2,24.6,25.2,25.2
Somalia,32.2,17.0,32.3,32.4
South Africa,35.0,11.6,35.1,35.1
South Korea,27.2,17.2,27.7,28.2
South Sudan,31.2,12.1,31.4,31.5
Spain,42.5,30.2,41.0,39.2
Sri Lanka,34.1,28.0,25.3,30.9
St. Lucia,28.3,18.4,28.3,28.3
St. Vincent and the Grenadines,26.0,16.9,26.0,26.0
Sudan,31.5,12.2,31.5,31.5
Suriname,32.9,29.1,32.9,32.9
Swaziland,33.3,12.9,33.3,33.4
Sweden,58.9,49.8,56.5,58.8
Switzerland,55.9,46.4,55.0,54.5
Syria,32.2,26.7,32.3,32.3
Tajikistan,25.6,15.8,21.1,16.7
Tanzania,34.0,13.2,34.1,34.1
Thailand,31.1,19.9,31.1,31.1
Timor-Leste,31.0,10.1,31.1,31.2
Togo,33.0,12.8,33.1,33.1
Tonga,28.8,5.96,28.8,28.8
Trinidad and Tobago,39.1,25.4,39.1,39.1
Tunisia,30.7,23.5,30.8,30.8
Turkey,22.7,19.7,31.0,30.0
Turkmenistan,24.1,14.2,19.6,15.2
Uganda,25.3,9.77,25.3,25.3
Ukraine,32.7,28.7,30.7,27.8
United Arab Emirates,31.2,25.9,31.3,31.3
United Kingdom,45.5,40.4,54.1,56.6
United States,54.0,47.2,55.3,55.4
Uruguay,32.9,30.6,32.9,32.9
Uzbekistan,29.0,18.9,24.5,19.9
Vanuatu,25.4,25.4,25.5,25.5
Venezuela,32.5,29.4,32.5,32.5
Vietnam,30.7,19.6,30.6,30.6
Yemen,23.6,19.6,23.6,23.6
Zambia,34.1,13.2,34.2,34.2
Zimbabwe,34.3,17.3,34.3,34.3
